Minimanga 2	-66.9315542364	10.4479919577	__export__.isp_zone_8_d70ed9f2	cable
SubTroncal Manga T3 a Manga 20	-66.9254693236 10.4415893846,-66.9249107891 10.4415801955,-66.9242885167 10.4438908929,-66.9241406214 10.4446526745,-66.9244046655 10.4447130305,-66.9243487321 10.4450166558,-66.9243278664 10.4451294932,-66.9244581058 10.4447386886,-66.9245041461 10.4441099069,-66.924898745 10.4441998189,-66.9249680084 10.4440121098,-66.9248836417 10.443958504	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Jumper. Manga 20 a Manga 21	-66.9243278664 10.4451294932,-66.9244736023 10.4447474793,-66.9245165177 10.4441328794,-66.9248947092 10.4442120125,-66.9249805398 10.4440168175,-66.9248836417 10.443958504	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Jumper Troncal Coche Paragaipoa M21 a T5	-66.9329804945 10.4485580729,-66.9329890578 10.4484498763	fffa0004	__export__.isp_zone_8_d70ed9f2	cable
Troncal Paraguaipota a T5	-66.9329890578 10.4484498763,-66.9326114012 10.4485073912,-66.9325081362 10.4484414479,-66.9325818969 10.4482884593,-66.9325202061 10.4482541687,-66.932429011 10.4483979253,-66.9323928012 10.4483728668,-66.9323587387 10.4483892084	ff00a2ff	__export__.isp_zone_8_d70ed9f2	cable
Sub Troncal a Manga T6	-66.9323587387 10.4483892084,-66.9323802607 10.4483661205,-66.9323118644 10.4483331488,-66.9322769956 10.4483859035,-66.9322758461 10.4483849742,-66.9319873171 10.4482368715,-66.9318202969 10.448407757,-66.9317840871 10.4484657871,-66.9316312011 10.4483892928,-66.9316317777 10.4483883115,-66.9315641459 10.4485000776,-66.9315681692 10.4485778908,-66.9315560993 10.4486438341,-66.9316727754 10.4487651697,-66.9317653116 10.4488812299,-66.9319772061 10.4489920145	fffa0004	__export__.isp_zone_8_d70ed9f2	cable
Jumper Troncal a MiniManga 1	-66.9251521789 10.4519035765,-66.9252304574 10.4520145311,-66.9252733728 10.4519406754	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
SubTroncal Jabillo a C. El Mango	-66.9252733728 10.4519406754,-66.9254126593 10.4519534936,-66.9255038544 10.4520510886,-66.9256513759 10.4522357278,-66.9258927747 10.4521961623,-66.9258915911 10.4522020071,-66.9258766814 10.4524282799	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Sub Troncal Manga 25 a Mini 2	-66.9258915911 10.4522020071,-66.9260892882 10.4521826847,-66.926201941 10.4521220175,-66.926279725 10.452011234,-66.9264299663 10.4517950444	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 1 (OLT 1) Isla Pequeña	-66.923511347 10.4494300612,-66.9235186825 10.4493962688,-66.9236903439 10.4494384724,-66.9238284777 10.4493857179,-66.923845912 10.4493619783,-66.9238083611 10.4493158181,-66.9237451938 10.4493559565,-66.9236796151 10.4493738481,-66.9236045132 10.4493474708,-66.923537458 10.4493250502,-66.923511977 10.4492775711,-66.9234797905 10.4492564693,-66.9234559895 10.4492865835,-66.923489471 10.4493709853,-66.9234583364 10.4494082486,-66.9233953045 10.4494900181,-66.9234569953 10.4495282651,-66.9233926223 10.4496034403,-66.9233645076 10.4496281778,-66.9233389781 10.4496456439,-66.9233872579 10.4497617037,-66.9234088215 10.4498726439,-66.9233637497 10.4499715524,-66.9232671902 10.4500928875,-66.9232880209 10.4501167622,-66.9233530208 10.4502221358,-66.9234254405 10.4502537884,-66.9234504268 10.4503067469,-66.9235059068 10.450388312,-66.9235971019 10.450388312,-66.9237151191 10.4503777612,-66.9237400276 10.4503125557,-66.9237674221 10.4502353243,-66.9238639816 10.450107395,-66.9238663772 10.4501084369,-66.9239565179 10.4501284967,-66.9240812406 10.450145642,-66.9241642893 10.4502303854	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 1 (OLT 1) Aragua	-66.923511347 10.4494300612,-66.923477313 10.449487329,-66.9234283627 10.4495486561,-66.9234048933 10.4495776711,-66.9233505786 10.4496086643,-66.9233103455 10.4496185558,-66.9232768178 10.4496225124,-66.9232412786 10.4496211935,-66.923227197 10.4496106426,-66.9231795878 10.4495948163,-66.923111862 10.4495796494,-66.9230917454 10.4496587811,-66.9230689466 10.4497227459,-66.9230541945 10.4497583551,-66.922983116 10.4497464854,-66.9229509294 10.4498137473,-66.9229140491 10.4498150662,-66.9228718043 10.4497906672,-66.9228919208 10.4497412099,-66.9229053319 10.4497042818,-66.9229823804 10.4496751893,-66.9229636049 10.4496676059,-66.9229444942 10.4496603521,-66.9229263893 10.4496537578,-66.9229056021 10.4496455149,-66.9228844797 10.4496376018,-66.9228603399 10.4496277103	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
