node_id.code	ELEMENTO	NODO	N. DE TRUNK	TIPO DE CABLE	CANT. DE HILOS	CANT.  BUFFER	N. DE BUFFER	N. DE DISTRIBUCION	N. DE MANGA	N. DE ELEMENTO	EDIFICIO/ZONA	LINK	CORRELATIVO	GEOLOCALIZACION	LATITUD	LONGITUD	1693	OLT	PUERTO	ODF Y PUERTO	NOTAS			
																							COCHE	COCH
BSVL	NAP	Brisavila	1	ADSS	24	4	1	2	1	15	SANTA ISABEL		2115	GPS	10.5124705680223	-66.9092447196883	NAP BRISAVILA 1.24.4.1.2.1.15 SANTA ISABEL	OLT 1 (4 PUERTOS)	PON 2	ODF 1 PUERTO 3				
BSVL	NAP	Brisavila	1	ADSS	24	4	1	2	1	16	SANTA ISABEL		2116	GPS	10.5124705680223	-66.9092447196883	NAP BRISAVILA 1.24.4.1.2.1.16 SANTA ISABEL	OLT 1 (4 PUERTOS)	PON 2	ODF 1 PUERTO 3				
BSVL	NAP	Brisavila	1	ADSS	24	4	1	3	9	1	EVELYN	LINK	391	GPS	10.5126126659312	-66.9090728692066	NAP BRISAVILA 1.24.4.1.3.9.1 EVELYN	OLT 1 (4 PUERTOS)	PON 3	ODF 1 PUERTO 3				
BSVL	NAP	Brisavila	1	ADSS	24	4	1	3	9	2	MARY CRUZ		392	GPS	10.5127807162949	-66.9088397200833	NAP BRISAVILA 1.24.4.1.3.9.2 MARY CRUZ	OLT 1 (4 PUERTOS)	PON 3	ODF 1 PUERTO 3				
BSVL	NAP	Brisavila	1	ADSS	24	4	1	3	9	3	MARY CRUZ		393	GPS	10.5127807162949	-66.9088397200833	NAP BRISAVILA 1.24.4.1.3.9.3 MARY CRUZ	OLT 1 (4 PUERTOS)	PON 3	ODF 1 PUERTO 3				
BSVL	NAP	Brisavila	1	ADSS	24	4	1	3	9	4	EDIFICIO 2-9		394	GPS	10.513105651647	-66.9075888364996	NAP BRISAVILA 1.24.4.1.3.9.4 EDIFICIO 2-9	OLT 1 (4 PUERTOS)	PON 3	ODF 1 PUERTO 3				
BSVL	NAP	Brisavila	1	ADSS	24	4	1	3	9	5	SAN ALFONZO		395	GPS	10.5118111906425	-66.9091976831781	NAP BRISAVILA 1.24.4.1.3.9.5 SAN ALFONZO	OLT 1 (4 PUERTOS)	PON 2	ODF 1 PUERTO 3	PISO 1			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	3	9	6	SAN ALFONZO		396	GPS	10.5118111906425	-66.9091976831781	NAP BRISAVILA 1.24.4.1.3.9.6 SAN ALFONZO	OLT 1 (4 PUERTOS)	PON 2	ODF 1 PUERTO 3	PISO 1			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	3	9	7	PRIMAVERA		397	GPS	10.5117568435915	-66.9092187255069	NAP BRISAVILA 1.24.4.1.3.9.7 PRIMAVERA	OLT 1 (4 PUERTOS)	PON 3	ODF 1 PUERTO 3				
BSVL	NAP	Brisavila	1	ADSS	24	4	1	3	9	8	VILLA ROSA		398	GPS	10.5135241757928	-66.9090631938688	NAP BRISAVILA 1.24.4.1.3.9.8 VILLA ROSA	OLT 1 (4 PUERTOS)	PON 3	ODF 1 PUERTO 3	PISO 2			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	3	9	9	VILLA ROSA		399	GPS	10.5135241757928	-66.9090631938688	NAP BRISAVILA 1.24.4.1.3.9.9 VILLA ROSA	OLT 1 (4 PUERTOS)	PON 3	ODF 1 PUERTO 3	PISO 6			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	3	9	10	LOURDES		3910	GPS	10.512719225215	-66.9086419670473	NAP BRISAVILA 1.24.4.1.3.9.10 LOURDES	OLT 1 (4 PUERTOS)	PON 3	ODF 1 PUERTO 3	AZOTEA			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	3	9	11	EDIF. 105		3911	GPS	10.5121618387096	-66.9093426255737	NAP BRISAVILA 1.24.4.1.3.9.11 EDIF. 105	OLT 1 (4 PUERTOS)	PON 3	ODF 1 PUERTO 3	ENTRADA			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	3	9	12	EDIF 65		3912	GPS	10.5120363620979	-66.9093972516762	NAP BRISAVILA 1.24.4.1.3.9.12 EDIF 65	OLT 1 (4 PUERTOS)	PON 3	ODF 1 PUERTO 3	NO INSTALADA			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	3	9	13	PALMA LINDA		3913	GPS	10.514915516872172, 	-66.9088067367202	NAP BRISAVILA 1.24.4.1.3.9.13 PALMA LINDA	OLT 1 (4 PUERTOS)	PON 3	ODF 1 PUERTO 3	NO INSTALADA			
