,ELEMENTO,NODO,N. DE TRUNK,TIPO DE CABLE,CANT. DE HILOS,CANT.  BUFFER,N. DE BUFFER,N. DE DISTRIBUCION,N. DE MANGA,N. DE ELEMENTO,EDIFICIO/ZONA,LINK,CORRELATIVO,GEOLOCALIZACION,LATITUD,LONGITUD,1693,OLT,PUERTO,ODF Y PUERTO,NOTAS
,NAP,BRISAVILA,1,ADSS,24,4,1,2,1,5,TERRAPLEN,,215,GPS,10.513587584643277,-66.910293893246,NAP BRISAVILA 1.24.4.1.2.1.5 TERRAPLEN,OLT 1 (4 PUERTOS),PON 2,ODF 1 PUERTO 2,
,NAP,BRISAVILA,1,ADSS,24,4,1,2,1,6,TERRAPLEN,,216,GPS,10.512629779375809,-66.91036646442662,NAP BRISAVILA 1.24.4.1.2.1.6 TERRAPLEN,OLT 1 (4 PUERTOS),PON 2,ODF 1 PUERTO 2,
,NAP,BRISAVILA,1,ADSS,24,4,1,2,1,7,TERRAPLEN,,217,GPS,10.51270923315631,-66.91057607974173,NAP BRISAVILA 1.24.4.1.2.1.7 TERRAPLEN,OLT 1 (4 PUERTOS),PON 2,ODF 1 PUERTO 2,
,NAP,BRISAVILA,1,ADSS,24,4,1,2,1,8,TERRAPLEN,,218,GPS,10.512900071330654,-66.91080318211422,NAP BRISAVILA 1.24.4.1.2.1.8 TERRAPLEN,OLT 1 (4 PUERTOS),PON 2,ODF 1 PUERTO 2,
,NAP,BRISAVILA,1,ADSS,24,4,1,2,1,9,SAN FRANCISCO,,219,GPS,10.512183849934077,-66.91036378227729,NAP BRISAVILA 1.24.4.1.2.1.9 SAN FRANCISCO,OLT 1 (4 PUERTOS),PON 2,ODF 1 PUERTO 2,
,NAP,BRISAVILA,1,ADSS,24,4,1,2,1,10,SAN FRANCISCO,,2110,GPS,10.512183849934077,-66.91036378227729,NAP BRISAVILA 1.24.4.1.2.1.10 SAN FRANCISCO,OLT 1 (4 PUERTOS),PON 2,ODF 1 PUERTO 2,
,NAP,BRISAVILA,1,ADSS,24,4,1,2,1,11,SAN FRANCISCO,,2111,GPS,10.512183849934077,-66.91036378227729,NAP BRISAVILA 1.24.4.1.2.1.11 SAN FRANCISCO,OLT 1 (4 PUERTOS),PON 2,ODF 1 PUERTO 2,
,NAP,BRISAVILA,1,ADSS,24,4,1,2,1,12,SAN FRANCISCO,,2112,GPS,10.512183849934077,-66.91036378227729,NAP BRISAVILA 1.24.4.1.2.1.12 SAN FRANCISCO,OLT 1 (4 PUERTOS),PON 2,ODF 1 PUERTO 2,
,NAP,BRISAVILA,1,ADSS,24,4,1,2,1,13,SAN FRANCISCO,,2113,GPS,10.512183849934077,-66.91036378227729,NAP BRISAVILA 1.24.4.1.2.1.13 SAN FRANCISCO,OLT 1 (4 PUERTOS),PON 2,ODF 1 PUERTO 2,
,NAP,BRISAVILA,1,ADSS,24,4,1,2,1,14,SAN FRANCISCO,,2114,GPS,10.512183849934077,-66.91036378227729,NAP BRISAVILA 1.24.4.1.2.1.14 SAN FRANCISCO,OLT 1 (4 PUERTOS),PON 2,ODF 1 PUERTO 2,
,NAP,BRISAVILA,1,ADSS,24,4,1,2,1,15,SANTA ISABEL,,2115,GPS,10.512470568022273,-66.90924471968825,NAP BRISAVILA 1.24.4.1.2.1.15 SANTA ISABEL,OLT 1 (4 PUERTOS),PON 2,ODF 1 PUERTO 3,
,NAP,BRISAVILA,1,ADSS,24,4,1,2,1,16,SANTA ISABEL,,2116,GPS,10.512470568022273,-66.90924471968825,NAP BRISAVILA 1.24.4.1.2.1.16 SANTA ISABEL,OLT 1 (4 PUERTOS),PON 2,ODF 1 PUERTO 3,
,NAP,BRISAVILA,1,ADSS,24,4,1,3,9,1,EVELYN,LINK,391,GPS,10.512612665931155,-66.9090728692066,NAP BRISAVILA 1.24.4.1.3.9.1 EVELYN,OLT 1 (4 PUERTOS),PON 3,ODF 1 PUERTO 3,
,NAP,BRISAVILA,1,ADSS,24,4,1,3,9,2,MARY CRUZ,,392,GPS,10.512780716294918,-66.90883972008328,NAP BRISAVILA 1.24.4.1.3.9.2 MARY CRUZ,OLT 1 (4 PUERTOS),PON 3,ODF 1 PUERTO 3,
,NAP,BRISAVILA,1,ADSS,24,4,1,3,9,3,MARY CRUZ,,393,GPS,10.512780716294918,-66.90883972008328,NAP BRISAVILA 1.24.4.1.3.9.3 MARY CRUZ,OLT 1 (4 PUERTOS),PON 3,ODF 1 PUERTO 3,
