"Nombre de campo","Etiqueta de campo","Modelo","Tipo de campo","Tipo","Indexado","Almacenado","Sólo lectura","Modelo relacionado"
"software_version","Version Software","Equipo Core","Carácter","Campo base","","True","",""
"state","Estado","Equipo Core","Selección","Campo base","","True","",""
"svlan","svlan","Equipo Core","Carácter","Campo base","","True","",""
"type_access_net","Tipo","Equipo Core","Selección","Campo base","","True","",""
"type_connection","Tipo de Conexión","Equipo Core","Selección","Campo base","","True","",""
"type_manager_address_list","Tipos de Control","Equipo Core","Selección","Campo base","","True","",""
"user_core","Usuario","Equipo Core","Carácter","Campo base","","True","",""
"user_nass","Usuario Nass","Equipo Core","Carácter","Campo base","","True","",""
"user_profile_radius","User PROFILE","Equipo Core","Carácter","Campo base","","True","",""
"website_message_ids","Website Messages","Equipo Core","one2many","Campo base","","True","","mail.message"
"write_date","Last Updated on","Equipo Core","Fecha y hora","Campo base","","True","True",""
"write_uid","Last Updated by","Equipo Core","many2one","Campo base","","True","True","res.users"
