P - 138	-66.9112118024	10.5139717396	__export__.isp_zone_11_457fdf7b	post
P - 139	-66.9112510572	10.5137912352	__export__.isp_zone_11_457fdf7b	post
P - 140	-66.9109200672	10.5136472358	__export__.isp_zone_11_457fdf7b	post
P - 141	-66.9108235815	10.5139254594	__export__.isp_zone_11_457fdf7b	post
P - 75	-66.9110591124	10.5151159694	__export__.isp_zone_11_457fdf7b	post
P - 76	-66.911575662	10.5151221288	__export__.isp_zone_11_457fdf7b	post
P - 77	-66.9118147438	10.5152316601	__export__.isp_zone_11_457fdf7b	post
P - 78	-66.9121322854	10.5153182821	__export__.isp_zone_11_457fdf7b	post
P - 79	-66.9122935003	10.5154153561	__export__.isp_zone_11_457fdf7b	post
P - 80	-66.9123436819	10.5151733022	__export__.isp_zone_11_457fdf7b	post
P - 81	-66.9123961781	10.5149742871	__export__.isp_zone_11_457fdf7b	post
P - 82	-66.9124414418	10.5147294439	__export__.isp_zone_11_457fdf7b	post
P - 83	-66.9125053081	10.5144821798	__export__.isp_zone_11_457fdf7b	post
P - 84	-66.9126263509	10.5145306979	__export__.isp_zone_11_457fdf7b	post
P - 85	-66.9128490732	10.5146587511	__export__.isp_zone_11_457fdf7b	post
P - 86	-66.9131684319	10.5148372198	__export__.isp_zone_11_457fdf7b	post
P - 87	-66.9134477002	10.5150395304	__export__.isp_zone_11_457fdf7b	post
P - 88	-66.9136949953	10.5152047956	__export__.isp_zone_11_457fdf7b	post
P - 89	-66.9137282315	10.5152575777	__export__.isp_zone_11_457fdf7b	post
P - 90	-66.9122722773	10.5155498556	__export__.isp_zone_11_457fdf7b	post
P - 91	-66.9122568645	10.5157353556	__export__.isp_zone_11_457fdf7b	post
P - 92	-66.9121569065	10.5159616039	__export__.isp_zone_11_457fdf7b	post
P - 93	-66.9121258623	10.5161578751	__export__.isp_zone_11_457fdf7b	post
P - 94	-66.9120638313	10.5163732404	__export__.isp_zone_11_457fdf7b	post
P - 95	-66.9120030245	10.5166150017	__export__.isp_zone_11_457fdf7b	post
P - 97	-66.9119658033	10.5169203819	__export__.isp_zone_11_457fdf7b	post
P - 98	-66.9119103946	10.5171147577	__export__.isp_zone_11_457fdf7b	post
P - 99	-66.9118475983	10.5174134459	__export__.isp_zone_11_457fdf7b	post
P - 100	-66.9118565808	10.5177075502	__export__.isp_zone_11_457fdf7b	post
P - 101	-66.9119116522	10.5177903541	__export__.isp_zone_11_457fdf7b	post
Poste Propiedad	-66.9117142162	10.5182699246	__export__.isp_zone_11_457fdf7b	post
P - 102	-66.9121620999	10.5178501324	__export__.isp_zone_11_457fdf7b	post
P - 103	-66.9124068371	10.5179144334	__export__.isp_zone_11_457fdf7b	post
P - 104	-66.9126966972	10.5179627982	__export__.isp_zone_11_457fdf7b	post
P - 105	-66.9129121814	10.518024233	__export__.isp_zone_11_457fdf7b	post
P - 106	-66.9131772463	10.5180677825	__export__.isp_zone_11_457fdf7b	post
P - 107	-66.9133664977	10.518145471	__export__.isp_zone_11_457fdf7b	post
P -108	-66.9136206378	10.5181868617	__export__.isp_zone_11_457fdf7b	post
P -109	-66.9138776214	10.5182596307	__export__.isp_zone_11_457fdf7b	post
P - 110	-66.9140927537	10.5182957336	__export__.isp_zone_11_457fdf7b	post
P - 111	-66.9143620555	10.5183954277	__export__.isp_zone_11_457fdf7b	post
P - 112	-66.9146336502	10.5184270666	__export__.isp_zone_11_457fdf7b	post
P - 113	-66.9150180128	10.5184711817	__export__.isp_zone_11_457fdf7b	post
P -114	-66.9153085971	10.5184229072	__export__.isp_zone_11_457fdf7b	post
P - 115	-66.9127775567	10.517658799	__export__.isp_zone_11_457fdf7b	post
P - 116	-66.9128362259	10.5172869643	__export__.isp_zone_11_457fdf7b	post
P - 117	-66.9128751789	10.5169052643	__export__.isp_zone_11_457fdf7b	post
P - 118	-66.9129650937	10.516759089	__export__.isp_zone_11_457fdf7b	post
P - 119	-66.9130305652	10.5165179407	__export__.isp_zone_11_457fdf7b	post
P - 120	-66.9094572847	10.5161138419	__export__.isp_zone_11_457fdf7b	post
P - 121	-66.9122884176	10.5167739021	__export__.isp_zone_11_457fdf7b	post
