"Nombre de campo","Etiqueta de campo","Modelo","Tipo de campo","Tipo","Indexado","Almacenado","Sólo lectura","Modelo relacionado"
"is_brand_all_olt","Es marca Vsol","Contratos ISP","booleano","Campo base","","","True",""
"is_brand_olt_hua","Es Marca Huawei","Contratos ISP","booleano","Campo base","","","True",""
"is_brand_olt_vsol","Es marca Vsol","Contratos ISP","booleano","Campo base","","","True",""
"is_brand_olt_zte","Es Marca Vsol?","Contratos ISP","booleano","Campo base","","","True",""
"is_bridge","Bridge","Contratos ISP","booleano","Campo base","","True","True",""
"is_change_mac","Cambiar MAC esta activo?","Contratos ISP","booleano","Campo base","","","True",""
"is_channel","Canal Asignado?","Contratos ISP","booleano","Campo base","","","True",""
"is_commission","Comisión Aplicada","Contratos ISP","booleano","Campo base","","True","",""
"is_commission_discount","Penalización Aplicada","Contratos ISP","booleano","Campo base","","True","",""
"is_control_mac_learn","Extraer MAC Learn OLT?","Contratos ISP","booleano","Campo base","","","True",""
"is_days_grace","Dias Anticipado?","Contratos ISP","booleano","Campo base","","True","",""
"is_disabled","Es Discapacitado?","Contratos ISP","booleano","Campo base","","True","",""
"is_extra_value","¿Ya facturo valores extra?","Contratos ISP","booleano","Campo base","","True","",""
"is_extra_value_active","¿Esta activo facturar valores extra?","Contratos ISP","booleano","Campo base","","","True",""
"is_extract_ip","Extraer IP ARP?","Contratos ISP","booleano","Campo base","","","True",""
"is_extract_ip_lease","Extraer IP Lease?","Contratos ISP","booleano","Campo base","","","True",""
"is_extract_ip_rd","Extraer IP Radius","Contratos ISP","booleano","Campo base","","","True",""
"is_extract_mac_core","Extraer MAC ONU CORE?","Contratos ISP","booleano","Campo base","","","True",""
"is_extract_mac_cores","Extraer MAC?","Contratos ISP","booleano","Campo base","","","True",""
"is_extract_mac_onu","Extraer MAC ONU OLT?","Contratos ISP","booleano","Campo base","","","True",""
"is_first_invoice","Primera Factura Generada","Contratos ISP","booleano","Campo base","","True","",""
"is_free_rd","Es freeradius","Contratos ISP","booleano","Campo base","","","True",""
"is_fttb_connection","Conexión FTTB Activada?","Contratos ISP","booleano","Campo base","","True","",""
"is_gestion_queue_parent","Cola Padre","Contratos ISP","booleano","Campo base","","","True",""
"is_gestion_wifi","ES Gestion WIFI","Contratos ISP","booleano","Campo base","","","True",""
"is_group_editable","Grupo Editable","Contratos ISP","booleano","Campo base","","","True",""
"is_incorrect_documents","Documentos Incorrectos","Contratos ISP","booleano","Campo base","","True","",""
"is_ip_address_pool","Esta Asignada la IP?","Contratos ISP","booleano","Campo base","","","True",""
"is_ip_address_tr_069_pool","Esta Asignada la IP TR-069?","Contratos ISP","booleano","Campo base","","","True",""
"is_ip_public","IP Pública","Contratos ISP","booleano","Campo base","","True","True",""
"is_iptv","Es IPTV?","Contratos ISP","booleano","Campo base","","True","",""
"is_mac_address","MAC Address Asignada?","Contratos ISP","booleano","Campo base","","True","",""
"is_management_vlan_contract","Gestion Vlan","Contratos ISP","booleano","Campo base","","","True",""
"is_material_process","activo  Sin materiales?","Contratos ISP","booleano","Campo base","","True","",""
"is_mgn_mac_onu","Gestion MAC ONU AP?","Contratos ISP","booleano","Campo base","","","True",""
"is_mgn_service_port","Puerto/IP para Gestion","Contratos ISP","booleano","Campo base","","","True",""
"is_olt","Verifico Status OLT?","Contratos ISP","booleano","Campo base","","True","",""
"is_other_partner_bank","Diferente propieatario de cuenta?","Contratos ISP","booleano","Campo base","","True","",""
"is_ping","Realizo Ping?","Contratos ISP","booleano","Campo base","","True","",""
"is_portal_user","Habilitado acceso al Portal.?","Contratos ISP","booleano","Campo base","","True","",""
"is_radius_ng","Es Radius Ng","Contratos ISP","booleano","Campo base","","","True",""
"is_reconnection","Activar Reconexion","Contratos ISP","booleano","Campo base","","","True",""
"is_reconnection_applied","Existe reconexión aplicada?","Contratos ISP","booleano","Campo base","","True","True",""
"is_reconnection_required","Reconexión obligatoria antes de facturar","Contratos ISP","booleano","Campo base","","","True",""
"is_recurrent","Debito recurrente?","Contratos ISP","booleano","Campo base","","True","",""
"is_recurring_invoicing_type","ES tipo de facturacion","Contratos ISP","booleano","Campo base","","True","",""
"is_router_wifi","Router","Contratos ISP","booleano","Campo base","","True","True",""
"is_select_journal_invoice","¿Escoger diario de Factura?","Contratos ISP","booleano","Campo base","","","True",""
"is_senior","Tercera Edad?","Contratos ISP","booleano","Campo base","","True","",""
"is_shutdown_onu_port","Desactivar Onu Port","Contratos ISP","booleano","Campo base","","True","",""
"is_state_script","Servicio del script","Contratos ISP","booleano","Campo base","","True","",""
"is_sync_onu_tr069","Sincronizo TR069","Contratos ISP","booleano","Campo base","","True","",""
"is_sync_tr069","Sincronizar TR069","Contratos ISP","booleano","Campo base","","True","",""
"is_sync_tr069_ipv6","Sincronizar TR069 IPV6","Contratos ISP","booleano","Campo base","","True","",""
"is_tr069","Es TR069","Contratos ISP","booleano","Campo base","","True","",""
"is_unique_vlans","Datos de red manual","Contratos ISP","booleano","Campo base","","","True",""
"is_user_restricted_access","Usuario Restringido","Contratos ISP","booleano","Campo base","","","True",""
"is_validate","Documentos Válidos","Contratos ISP","booleano","Campo base","","True","",""
"is_visible_amount_tree","Monto vencido vista","Contratos ISP","booleano","Campo base","","","True",""
"is_visible_contract","Visualizar Contrato","Contratos ISP","booleano","Campo base","","","True",""
"is_visible_contract_validate","Visualizar Contrato","Contratos ISP","booleano","Campo base","","True","",""
"is_visible_core","Visible Core?","Contratos ISP","booleano","Campo base","","","True",""
"isp_core_port_line_id","Interface Core","Contratos ISP","many2one","Campo base","","True","","isp.core.port.line"
"isp_queue_parent_id","Colas Simples","Contratos ISP","many2one","Campo base","","True","","isp.queue.parent"
"journal_dollar","Diario de dolares","Contratos ISP","booleano","Campo base","","","True",""
"journal_id","Diario","Contratos ISP","many2one","Campo base","","","True","account.journal"
"journal_payment_ids","Invoices","Contratos ISP","many2many","Campo base","","","True","account.journal"
"journal_payment_igtf_id","Diario","Contratos ISP","many2one","Campo base","","True","","account.journal"
"last_month","Mes Actual de Corte","Contratos ISP","entero","Campo base","","True","",""
"last_password","Password Anterior","Contratos ISP","Carácter","Campo base","","True","",""
"lead_id","Oportunidad","Contratos ISP","many2one","Campo base","","True","True","crm.lead"
"line_debit_ids","Líneas de Valores Extras a Facturar","Contratos ISP","one2many","Campo base","","True","","contract.line"
"line_ids","Líneas de Facturación","Contratos ISP","one2many","Campo base","","True","","contract.line"
"link","Payment Link","Contratos ISP","Carácter","Campo base","","True","",""
"link_communitary","Es Comunitario","Contratos ISP","booleano","Campo base","","True","",""
"link_transfer","Migracion Enlace?","Contratos ISP","booleano","Campo base","","True","True",""
"link_transfer_date","Fecha Migra. Enlace","Contratos ISP","fecha","Campo base","","True","True",""
"link_type","Tipo Enlace","Contratos ISP","Selección","Campo base","","True","",""
